edital_id,data_publicacao,status,asset_path,mensagem,feed_media_id,story_media_id,publication_kind
fundacao_de_amparo_a_ciencia_e_tecnologi_77a2b77d,2026-04-09T12:49:51.941538-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_fundacao_de_amparo_a_ciencia_e_tecnologi_77a2b77d.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""Atxl4smOqVZvirb84EthTju""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""ApWMEejtw0gnnyKVj2W27xE""}}",,,
fundacao_de_amparo_a_pesquisa_do_estado__ca01eb1f,2026-04-10T02:52:56.181643-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_fundacao_de_amparo_a_pesquisa_do_estado__ca01eb1f.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""Anx_2j_TMO1sN56zAp9Sj5u""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AKimR0MzeuKa3kb3hf_EKuy""}}",,,
fundacao_de_amparo_a_pesquisa_e_inovacao_9a17fc8f,2026-04-10T02:52:56.181643-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_fundacao_de_amparo_a_pesquisa_e_inovacao_9a17fc8f.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AeGY2mclOlX55etviU5BZoZ""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""A2G4NChBSpYqjDboQWv8soC""}}",,,
financiadora_de_estudos_e_projetos_finep_315d632a,2026-04-10T02:52:56.181643-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_financiadora_de_estudos_e_projetos_finep_315d632a.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AEDekJ3NCSxU3_Eavi5TkBe""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""ASgqwgyOzPpVbXT5XjAQywc""}}",,,
financiadora_de_estudos_e_projetos_finep_064113e0,2026-04-10T02:52:56.181643-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_financiadora_de_estudos_e_projetos_finep_064113e0.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""ATpYwmB-LPu81QTKRsC0-dF""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""ARPHMQ4WkAxVd4ZsC4a41SW""}}",,,
financiadora_de_estudos_e_projetos_finep_32a33550,2026-04-10T02:52:56.181643-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_financiadora_de_estudos_e_projetos_finep_32a33550.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AF_-_IWUQXzcy5_icddm3DP""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""A7C20LShksGlkyrDY0pxvLt""}}",,,
financiadora_de_estudos_e_projetos_finep_f6a3506d,2026-04-10T02:52:56.181643-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_financiadora_de_estudos_e_projetos_finep_f6a3506d.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AL3b2rglbiSDSPsXgSC9Q7g""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AI7oVvr5SKYrrbcK0MZaMAE""}}",,,
financiadora_de_estudos_e_projetos_finep_1d63ef7c,2026-04-10T02:52:56.181643-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_financiadora_de_estudos_e_projetos_finep_1d63ef7c.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AGVnyo7f7U0yi1AV-6d6O9S""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AphEDGPLwt40fCXtTb5XB0M""}}",,,
financiadora_de_estudos_e_projetos_finep_74b0dc4f,2026-04-10T02:52:56.181643-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_financiadora_de_estudos_e_projetos_finep_74b0dc4f.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AI8hEO1f8wOMA4BiZhEUZK9""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AV6Vg0_OJvaMLAK5uwFzlPz""}}",,,
financiadora_de_estudos_e_projetos_finep_35401209,2026-04-10T02:52:56.181643-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_financiadora_de_estudos_e_projetos_finep_35401209.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AL9pVyUBwGgsm50HFQih6V5""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AdBqrLFiWDb8Za4FZYl3OmW""}}",,,
fundacao_de_apoio_ao_desenvolvimento_do__9e4e6a8b,2026-04-10T02:52:56.181643-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_fundacao_de_apoio_ao_desenvolvimento_do__9e4e6a8b.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""A20ekvd1qI6PHxq6eKzvbht""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AfTHSeOQxX5__6pOvHQlCp7""}}",,,
fundacao_de_amparo_a_pesquisa_do_acre_ed_d2203dce,2026-04-10T02:52:56.181643-03:00,failed,/home/runner/work/fomenta-pesquisa/fomenta-pesquisa/posts/draft_fundacao_de_amparo_a_pesquisa_do_acre_ed_d2203dce.jpg,"Falha na publicacao real: feed: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""Alf-7zvr8dXgcz99QvvzVlW""}} | story: Falha ao consultar status do container: HTTP 403 - {""error"": {""message"": ""Application request limit reached"", ""type"": ""OAuthException"", ""is_transient"": true, ""code"": 4, ""error_subcode"": 1349210, ""error_user_title"": ""Rate Limit Exceeded"", ""error_user_msg"": ""You are hitting rate-limits on the node that you are attempting to fetch. Please wait and try again later."", ""fbtrace_id"": ""AGqVEMXk4yac84jRiOot2pT""}}",,,
